il numero dei nodi e':100
le condizioni iniziali sono:100
0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 	0 167 41 0 0 0 0 27 256 127 0 256 194 204 60 0 25 90 101 0 0 111 28 0 105 47 0 256 75 0 256 160 256 253 7 0 256 0 0 222 0 256 256 256 0 102 256 0 9 0 256 202 249 0 0 256 5 91 65 110 44 170 0 55 24 5 0 76 197 256 85 256 253 0 139 221 256 256 15 254 138 108 0 0 0 0 256 0 143 0 50 0 89 153 64 153 210 30 198 134 
1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 	256 256 155 233 8 256 167 178 256 0 3 0 0 163 0 207 256 0 0 253 253 186 255 0 0 59 35 256 0 256 256 256 256 255 161 0 132 35 78 140 253 256 256 253 0 110 256 32 113 0 256 256 64 190 143 167 256 100 256 0 0 36 0 27 66 256 253 0 198 256 0 256 253 220 211 187 0 256 45 56 0 0 0 0 23 0 256 0 156 0 40 94 0 256 85 152 43 256 0 4 
1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 	256 0 0 12 256 55 0 83 0 134 90 256 120 256 0 83 253 64 53 229 175 256 256 130 0 227 0 0 256 256 256 256 256 256 0 222 256 0 256 256 253 109 256 253 128 180 256 101 67 256 256 256 171 0 0 256 253 0 256 235 162 253 127 256 122 256 0 16 0 256 256 0 256 0 0 0 256 256 232 131 256 0 135 0 251 0 0 0 164 0 0 256 234 256 150 0 126 0 0 203 
1 0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 	256 0 256 36 256 256 256 0 256 151 156 256 119 256 0 0 0 237 0 92 256 256 256 256 109 131 0 0 0 125 82 0 0 256 120 256 256 0 256 256 256 256 90 0 70 256 0 200 165 186 0 7 0 25 0 256 256 256 143 177 67 253 253 58 253 0 253 0 0 256 256 253 256 153 61 0 256 256 256 5 253 0 51 58 0 0 256 0 0 253 25 253 0 256 0 0 0 0 0 0 
1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 	256 0 0 0 256 256 63 192 256 57 220 256 256 256 254 152 256 0 256 0 19 0 256 0 215 0 0 0 0 21 256 256 256 256 256 256 0 256 256 256 0 40 256 256 36 219 256 168 0 53 256 256 0 253 0 256 256 0 256 0 46 4 179 256 0 253 253 0 12 256 256 253 256 0 0 0 5 0 256 0 0 0 224 76 256 0 256 153 189 0 0 147 0 256 0 0 256 62 217 0 
1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 	256 0 256 242 256 256 253 0 256 95 256 230 0 256 0 0 256 183 0 0 253 256 253 256 0 0 254 256 0 256 256 256 256 253 256 256 253 249 10 256 253 186 59 256 0 47 0 0 128 253 256 256 214 254 0 0 0 256 256 0 0 0 10 256 0 256 254 0 222 256 0 256 254 0 0 158 256 0 201 86 0 0 0 0 253 254 256 16 0 20 0 0 0 256 0 256 256 256 0 0 
1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 	256 256 256 0 235 0 256 0 256 0 253 113 48 256 145 0 256 0 0 59 21 256 253 256 0 51 253 256 229 256 256 0 253 159 256 0 256 0 253 0 253 256 0 0 0 256 0 244 23 0 255 253 75 253 0 256 256 256 256 0 0 0 256 0 253 107 233 46 0 256 256 253 208 0 154 256 17 253 0 256 0 83 0 29 253 0 256 223 203 83 68 0 0 256 0 253 209 0 0 0 
0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 	254 104 0 0 256 0 253 190 0 83 256 256 205 256 0 0 256 0 256 0 175 256 256 256 0 0 93 256 256 256 256 256 253 0 256 255 256 254 90 256 253 106 0 256 58 0 256 0 0 253 256 256 53 253 88 159 253 178 256 162 60 218 256 256 0 256 253 219 0 151 253 0 256 129 0 71 0 256 0 253 0 0 0 0 44 114 0 135 126 0 52 256 169 256 199 256 0 256 0 168 
0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 	0 256 62 0 0 256 191 123 256 0 0 242 0 0 234 0 253 0 236 113 0 256 254 256 0 158 253 256 80 0 256 256 256 256 256 0 256 1 233 0 57 37 256 66 0 161 194 154 252 0 256 256 0 0 0 246 256 0 256 140 0 0 0 83 244 0 0 111 199 256 0 256 0 0 0 175 225 256 91 85 256 0 0 0 253 253 256 70 49 242 25 0 0 256 159 145 152 256 147 61 
0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 	0 256 132 0 17 256 243 46 256 0 256 0 256 0 0 0 0 40 256 0 254 0 256 0 117 0 96 0 256 256 0 256 253 0 256 256 256 198 256 152 256 256 0 256 0 226 256 0 2 0 256 256 24 0 95 256 0 9 256 185 239 1 0 256 163 50 180 77 0 256 253 256 0 0 71 0 256 256 38 256 139 0 0 0 180 80 256 116 0 0 174 0 131 256 10 0 256 256 154 56 
