1	0.291000	0.404800
2	0.557800	0.777000
3	0.833600	1.150600
4	1.079000	1.536800
5	1.371200	1.902000
6	1.646200	2.295000
7	1.890600	2.662600
8	2.179800	3.029600
9	2.452400	3.425200
10	2.681600	3.769600
11	2.942400	4.172001
12	3.209400	4.575600
13	3.499399	4.923200
14	3.750000	5.276801
15	4.029401	5.664600
16	4.325400	6.034400
17	4.533600	6.370399
18	4.770400	6.722401
19	5.010400	7.038999
20	5.359800	7.458600
21	5.583401	7.773200
22	5.861200	8.102400
23	6.093800	8.513400
24	6.405198	8.946200
25	6.616400	9.228598
26	6.816400	9.572601
27	7.127601	9.939001
28	7.265400	10.187799
29	7.602600	10.549200
30	7.834800	10.916600
31	8.158000	11.423400
32	8.259599	11.592599
33	8.591801	12.039800
34	8.854801	12.296798
35	9.087400	12.653601
36	9.238400	12.951000
37	9.612601	13.339197
38	9.799800	13.678398
39	10.040601	14.009400
40	10.258400	14.303200
41	10.510601	14.714198
42	10.744000	15.013200
43	10.891799	15.274199
44	11.315398	15.727799
45	11.457599	15.924800
46	11.652201	16.211798
47	11.859000	16.545403
48	12.151799	17.017403
49	12.420801	17.337799
50	12.693600	17.643400
51	12.934800	17.948601
52	13.101801	18.176403
53	13.219602	18.474201
54	13.579399	18.854403
55	13.777200	19.125799
56	14.011399	19.438000
57	14.156397	19.781603
58	14.424801	20.066198
59	14.704401	20.419205
60	14.886997	20.621599
61	15.134398	21.081804
62	15.256400	21.321199
63	15.492397	21.574997
64	15.862000	21.985601
65	15.990201	22.281200
66	16.173599	22.604397
67	16.402998	22.825001
68	16.615801	23.112600
69	16.801401	23.404600
70	16.938000	23.551201
71	17.191801	23.949600
72	17.473000	24.307800
73	17.617800	24.562803
74	17.865198	24.813000
75	18.090801	25.135204
76	18.320000	25.469196
77	18.604000	25.812202
78	18.763203	26.096399
79	18.861599	26.300003
80	19.089197	26.570402
81	19.240597	26.868999
82	19.514198	27.206799
83	19.758999	27.510798
84	19.908802	27.822403
85	20.067202	27.934002
86	20.299601	28.336401
87	20.623203	28.707403
88	20.712202	28.944397
89	21.010399	29.314997
90	21.101799	29.441200
91	21.405396	29.737202
92	21.426601	29.987804
93	21.592402	30.220598
94	21.839800	30.537399
95	22.153399	30.888796
96	22.233198	31.124199
97	22.481600	31.409204
98	22.591799	31.618004
99	22.769201	31.842003
100	22.936800	32.130798
