transienti degli attrattori:
media	ds	ds/rad(N)	ds*3/rad(N)
44.365570	100.562107	1.007790	3.023370
34.302830	41.673244	0.416753	1.250260
39.066898	46.310294	0.463103	1.389309
45.053341	52.599192	0.526202	1.578607
51.965855	66.551048	0.665943	1.997830
56.623283	68.912585	0.689781	2.069344
65.154129	80.112564	0.802773	2.408319
72.351364	88.524626	0.886844	2.660532
78.307060	96.736918	0.969992	2.909975
85.872459	105.798032	1.061489	3.184467
